,mobs/Bat (2).txt,mobs/Bat.txt,mobs/Blaze (2).txt,mobs/Blaze.txt,mobs/Breeding.txt,mobs/Cat.txt,mobs/Cave-Spider_Jockey.txt,mobs/Cave_Spider (2).txt,mobs/Cave_Spider.txt,mobs/Charged_Creeper.txt,mobs/Chicken (2).txt,mobs/Chicken.txt,mobs/Chicken_Jockey (2).txt,mobs/Chicken_Jockey.txt,mobs/Cow (2).txt,mobs/Cow.txt,mobs/Creeper (2).txt,mobs/Creeper.txt,mobs/Donkey.txt,mobs/Elder_Guardian (2).txt,mobs/Elder_Guardian.txt,mobs/Enderman (2).txt,mobs/Enderman.txt,mobs/Endermite (2).txt,mobs/Endermite.txt,mobs/Ender_Dragon (2).txt,mobs/Ender_Dragon.txt,mobs/Fish.txt,mobs/Generated_Structures.txt,mobs/Ghast (2).txt,mobs/Ghast.txt,mobs/Giant (2).txt,mobs/Giant.txt,mobs/Guardian (2).txt,mobs/Guardian.txt,mobs/Horse.txt,mobs/Human (2).txt,mobs/Human.txt,mobs/Iron_Golem (2).txt,mobs/Iron_Golem.txt,mobs/Magma_Cube (2).txt,mobs/Magma_Cube.txt,mobs/Minecart_with_Command_Block.txt,mobs/Mob.txt,mobs/mobs (2).txt,mobs/Mobs.txt,mobs/Mooshroom (2).txt,mobs/Mooshroom.txt,mobs/Mule.txt,mobs/Ocelot.txt,mobs/Pig (2).txt,mobs/Pig.txt,mobs/Pigman_Jockey.txt,mobs/Pigmen.txt,mobs/Rabbit (2).txt,mobs/Rabbit.txt,mobs/Red_Dragon.txt,mobs/Sheep (2).txt,mobs/Sheep.txt,mobs/Silverfish (2).txt,mobs/Silverfish.txt,mobs/Skeleton (2).txt,mobs/Skeleton.txt,mobs/Slime (2).txt,mobs/Slime.txt,mobs/Snow_Golem (2).txt,mobs/Snow_Golem.txt,mobs/Spider (2).txt,mobs/Spider.txt,mobs/Spider_Jockey (2).txt,mobs/Spider_Jockey.txt,mobs/Squid (2).txt,mobs/Squid.txt,mobs/The_Player.txt,mobs/Villager (2).txt,mobs/Villager.txt,mobs/Witch (2).txt,mobs/Witch.txt,mobs/Wither.txt,mobs/Wither_Skeleton (2).txt,mobs/Wither_Skeleton.txt,mobs/Wither_Skeleton_Jockey.txt,mobs/Wolf (2).txt,mobs/Wolf.txt,mobs/Zombie (2).txt,mobs/Zombie.txt,mobs/Zombie_Pigman (2).txt,mobs/Zombie_Pigman.txt,mobs\Boss/ender-dragon.txt,mobs\Hostile/blazes.txt,mobs\Hostile/cave-spiders.txt,mobs\Hostile/creepers.txt,mobs\Hostile/ghasts.txt,mobs\Hostile/magma-cubes.txt,mobs\Hostile/silverfish.txt,mobs\Hostile/skeletons.txt,mobs\Hostile/slimes.txt,mobs\Hostile/spider-jockeys.txt,mobs\Hostile/spiders.txt,mobs\Hostile/zombies.txt,mobs\Neutral/endermen.txt,mobs\Neutral/wolves.txt,mobs\Neutral/zombie-pigmen.txt,mobs\Passive/bats.txt,mobs\Passive/chickens.txt,mobs\Passive/cows.txt,mobs\Passive/mooshrooms.txt,mobs\Passive/ocelots.txt,mobs\Passive/pigs.txt,mobs\Passive/rabbits.txt,mobs\Passive/sheep.txt,mobs\Passive/squid.txt,mobs\Passive/villagers.txt,mobs\Player-Created/iron-golems.txt,mobs\Player-Created/snow-golems.txt
bat,0.4343309967891626,0.24801460576146275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008746943685337303,0.007289119737781085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007015092679969766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272282717867244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fli,0.05703067844844601,0.02093531234183461,0.02058783827806972,0.005920846091903106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013302061729262207,0.00936163966983925,0.0,0.0008020803467531204,0.009541671201951546,0.012971683725528897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033011769960178327,0.0,0.0,0.0,0.0,0.00516840523439042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00538726278503236,0.0,0.0,0.0,0.0,0.029533744196516682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009239607122932595,0.0,0.001390992157279171,0.0,0.0,0.0,0.011174930236519828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026252217063570386,0.02641996285950374,0.0,0.0,0.006300532095256893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007190824673934497,0.0,0.0187942008523288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passiv,0.017366595001377272,0.019125237533162313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003089762300858533,0.006583415098561319,0.0,0.015339022996140332,0.010547251414449024,0.014758425056115484,0.0,0.0014900332989347363,0.004537218513873341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011173183694729693,0.0,0.0,0.006031512036406478,0.007194732214856298,0.0,0.0,0.0,0.025181562751997046,0.03672311234666236,0.0028696937609113443,0.0,0.007931200866770722,0.004578465954908554,0.005393641285568309,0.005822326647860588,0.003280985374853035,0.0,0.0,0.003896566770134939,0.009685216443075786,0.017986830537140744,0.00425005278514718,0.0013149641123758249,0.0,0.0,0.0,0.0,0.0,0.020145250201597634,0.0,0.003636326751190909,0.0,0.0,0.0,0.0,0.013611655541620025,0.011254329721562924,0.0,0.00084715097567694,0.002208909013333074,0.0,0.0,0.0,0.0,0.0,0.0,0.0011658130903702336,0.0,0.0,0.0,0.0,0.0013466076337966333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011446164887271385,0.006141844573657816,0.007573402331427682,0.0,0.005690748644519106,0.009547511943885137,0.0032078423887894328,0.011511571543770078,0.0,0.004145113210205275,0.0,0.0
mob,0.001847732625314009,0.0023739855882198976,0.0006670238107980033,0.000639430144798404,0.0,0.0003645186811843963,0.004465353844508855,0.0005440024988234138,0.0006206669436382965,0.0,0.00032873770634421023,0.002101342985651226,0.00022609386554475216,0.0008160037482351208,0.0008416373738341298,0.0007851171594740844,0.00034000156176463366,0.0005548664540513963,0.00024137047808155975,0.0003721128203757379,0.0009292065803602241,0.00023365223604988194,0.00034794965022146924,0.0006782815966342565,0.0006341330903444528,0.00021548624450712974,0.0003033070535892807,0.0015309784609744647,0.00010394616126887733,0.0013396061533526567,0.0004202685971302452,0.0016745076916908207,0.000992300854335301,0.0006455933269169429,0.0005680308777467096,0.000267475438273409,0.0014327338538531085,0.0018764911097546941,0.000855636664816068,0.0015309784609744647,0.0009307437293765357,0.0004961504271676505,0.0,0.006530579997594201,0.006000319228558775,0.006869775145398238,0.0,0.0008438463958126971,0.00024356475515502845,0.0005738607350372826,0.0003097355267867414,0.00034908303670427534,0.002381522050404723,0.00030795543755233486,0.00031093372998514275,0.0010304662718097358,0.0019137230762180807,0.00033914079831712826,0.0004197199436091874,0.0006740156746428461,0.00028808734480702296,0.0008986875661904615,0.0007352898268831048,0.0005152331359048679,0.0010716849226821252,0.0006279403843840578,0.0007737797275683215,0.0007765832773058878,0.0006714817811291511,0.000263313248816247,0.0017378674421872303,0.0014482228684893584,0.0017961199821488133,0.0004984581035730816,0.0002253332469895133,0.00041128259094160507,0.00015353652187422996,0.0013396061533526567,0.0009051392928058491,0.0005700451716394283,0.0007050558701856087,0.002870584614327121,0.0005581692305636069,0.0004599506105931868,0.00038654100006568987,0.00017028891779906653,0.0003727599731068262,0.0006447302342338988,0.0,0.00017119567454986027,0.00017174437863495598,0.000650068843914634,0.00010206523073163098,0.0,0.0006089118878875711,0.0007880036196192097,0.0009772202942390199,0.00046193315632850226,0.0008909494606620993,0.0006020701812820929,0.00039112588419055663,0.0009318999327670654,0.00024028809925608188,0.0012178237757751423,0.0016336660406739713,0.0,0.00038274461524361616,0.0007568396346625179,0.0007618613194422691,0.0005119513961857286,0.0009185870765846788,0.0012041403625641857,0.00044102260192680056,0.001704953286085199,0.001752755714667027
spawn,0.001847732625314009,0.005765393571391181,0.0011117063513300053,0.0007673161737580849,0.0004659499663835327,0.0,0.0,0.0013600062470585346,0.00020688898121276549,0.0005581692305636069,0.0004931065595163153,0.0017511191547093551,0.001356563193268513,0.0,0.0011221831651121732,0.0003925585797370422,0.00013600062470585345,0.0001585332725861132,0.0007241114342446792,0.000992300854335301,0.0003097355267867414,0.00031153631473317594,8.698741255536731e-05,0.0020348447899027696,0.0019023992710333584,0.0009337737261975623,0.0006066141071785614,0.0007654892304872323,0.0005717038869788253,0.0007213263902668151,0.0004202685971302452,0.002930388460458936,0.001984601708670602,0.0009683899903754143,0.00018934362591556983,0.0008618653011032067,0.0014327338538531085,0.0018764911097546941,0.0012834549972241022,0.00038274461524361616,0.0006648169495546683,0.0004961504271676505,0.0,0.0016745076916908207,0.0011163384611272138,0.0013739550290796478,0.0007765832773058878,0.0016876927916253941,0.0004871295103100569,0.0005738607350372826,0.0003097355267867414,0.00017454151835213767,0.0071445661512141686,0.00030795543755233486,0.0009328011899554282,0.0005152331359048679,0.0,0.0015826570588132651,0.0006995332393486457,0.0016850391866071151,0.0014404367240351146,0.0012356954035118845,0.0010110235119642692,0.0021897408275956885,0.001607527384023188,0.0002093134614613526,0.00019344493189208038,0.0013590207352853038,0.0006714817811291511,0.0019748493661218523,0.0017378674421872303,0.001930963824652478,0.0002993533303581356,0.0004984581035730816,0.0002253332469895133,0.0005287919026392065,0.00107475565311961,0.0008930707689017711,0.0006335975049640944,0.0030402409154102845,0.0035252793509280432,0.0038274461524361613,0.00024807521358382527,0.0004599506105931868,0.0013528935002299148,0.0013055483697928434,0.0018637998655341309,0.0002149100780779663,0.0005670290596201721,0.0008559783727493013,0.0005152331359048679,0.00037146791080836227,0.0006123913843897858,0.0,0.0009133678318313567,0.0006566696830160081,0.0004886101471195099,0.00046193315632850226,0.00038183548314089976,0.0004515526359615696,0.000586688826285835,0.0004659499663835327,0.00012014404962804094,0.0006089118878875711,0.0019603992488087655,0.0008057781373549814,0.0011482338457308484,0.0007568396346625179,0.0012697688657371151,0.0010239027923714572,0.0021433698453642504,0.0018062105438462785,0.0008820452038536011,0.0007306942654650854,0.0
cave,0.028515339224223005,0.04187062468366922,0.0,0.0,0.0,0.0,0.0,0.16790758121877505,0.10855646515476403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006296534295704065,0.0,0.0,0.0,0.0,0.0024039094113443814,0.0026848858360469714,0.0,0.0,0.0,0.0,0.0,0.0072187231207780835,0.0,0.0,0.01292101308597605,0.0,0.0,0.0,0.0018345975318967659,0.0,0.0,0.0033011769960178327,0.0,0.0,0.0,0.0,0.0,0.004307004361992016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003975696334146477,0.0,0.0,0.0,0.0,0.012435260714322815,0.008127221990196238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001491334242565315,0.0,0.0,0.0,0.0,0.0,0.0742129982374009,0.00286635992201895,0.0,0.0,0.0,0.00405365116422778,0.0,0.0,0.0,0.0046457575140588046,0.0,0.0,0.0,0.0187942008523288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anywher,0.015987589400578324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067932614302823645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034991705103152556,0.0,0.0035975952870360532,0.0,0.00727278576653759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009203773550705138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039125746212385765,0.0,0.0,0.0,0.0038879672336836176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005313926562942938,0.0,0.0,0.0,0.0,0.0,0.0,0.007959486568528264,0.0,0.0,0.0,0.0,0.009812488732630081,0.0,0.0,0.0,0.0035324959437468295,0.0,0.0,0.004545491104085994,0.005636961612361962,0.0,0.00440513152129949,0.005209439242885071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020837756971540285,0.0,0.0,0.0
overworld,0.008683297500688636,0.006375079177720771,0.004179512489958016,0.0012019839022432957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212502639257359,0.0,0.005273625707224512,0.003689606264028871,0.0012782519163450276,0.0,0.0,0.0,0.0,0.0014640443460463397,0.0016351664124673406,0.0,0.0,0.002700435683860273,0.0038009906040750254,0.0,0.001465464369660352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020105040121354925,0.0,0.0024994106949872996,0.0,0.0,0.0,0.002623079453333025,0.0,0.0,0.0,0.0,0.0,0.002911163323930294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013149641123758249,0.0,0.0,0.0021116614467083477,0.0017277230018522844,0.0024213041107689465,0.0,0.0,0.0,0.003649501848115514,0.0,0.0,0.00544466221664801,0.0,0.0,0.0,0.0,0.001104454506666537,0.002886138997363558,0.008393854250665682,0.0,0.007143705745247388,0.004417818026666148,0.0,0.0,0.0,0.0009082619567897941,0.0,0.007007043548381786,0.0013466076337966333,0.005329431270263924,0.0,0.0,0.0017456889256150462,0.0,0.0,0.0,0.0024687806619604945,0.0,0.004341648750344318,0.0023925475298809543,0.0028293890732580948,0.0,0.0,0.0022584361212553404,0.0,0.006141844573657816,0.0,0.0,0.0,0.009547511943885137,0.0,0.005755785771885039,0.0,0.0,0.0,0.0
light,0.01335586577260566,0.004902786169690685,0.0032142747502536444,0.0009243916644524205,0.0,0.0,0.0,0.011796551494585712,0.0,0.0,0.004752393955896493,0.0,0.0,0.0,0.004055707930948316,0.0,0.0009830459578821424,0.001145917477531255,0.0,0.0,0.0,0.0011259305447836167,0.0,0.0,0.0,0.0010383917088621023,0.0014615853109643932,0.0,0.000375674206988908,0.0014896927207906315,0.006075609527930418,0.01210375335642388,0.0,0.0,0.0,0.0,0.0,0.00301416425996548,0.0,0.0,0.0038443683117177583,0.0,0.0,0.0,0.008069168904282586,0.0,0.0,0.0,0.0,0.0,0.0022388445514772495,0.0,0.0,0.0,0.0,0.0,0.0,0.006537048226254247,0.0040451186152017145,0.009743902073095955,0.004164732337694239,0.0032479673576986516,0.0,0.007448463603953157,0.0,0.0,0.0,0.005613334889935712,0.0,0.0,0.004187244404384478,0.006978740673974129,0.0,0.0036029777433075737,0.0,0.0,0.0022195994693728605,0.0,0.0,0.0027469511163515188,0.0,0.0,0.0,0.0033246361150692204,0.0020955100490833048,0.0008205934478931444,0.0,0.0,0.004098625475191155,0.0024748888652112726,0.004965642402635438,0.005370122806316314,0.0,0.0,0.0,0.0037972559549565113,0.0023545295283013017,0.0,0.00552000153072063,0.006527866978745463,0.002827154068653753,0.0033680009339614276,0.0,0.008802729713762822,0.004723415943970295,0.0,0.005533144391508059,0.0,0.007342561277830601,0.0,0.004426515513206448,0.008703822638327285,0.009563459442112695,0.0,0.0
level,0.01180153651408329,0.004332209606435638,0.014201019041842962,0.0008168127897575546,0.0,0.0,0.0,0.006949128099663256,0.0,0.0,0.0020996598706037755,0.0,0.004332209606435638,0.0,0.0035837126587268627,0.0,0.004343205062289535,0.0010125578665929448,0.0,0.0031689311010038457,0.0019782922480255224,0.0029846909207129247,0.0,0.0,0.0,0.0009175457343389153,0.0012914889015411901,0.0,0.0033195398536218757,0.002632650453141657,0.0,0.01069514246588798,0.0,0.008246856841166637,0.0,0.0011389170013591193,0.0,0.0026633817813884464,0.0,0.0,0.003396968326634396,0.0,0.0,0.0021390284931775963,0.0035650474886293267,0.0,0.0,0.0,0.0,0.002748952280388878,0.0019782922480255224,0.0,0.0,0.0,0.0026479269548039873,0.0,0.0,0.002888139737623758,0.0,0.008609926010274601,0.005520073530780893,0.0057399506735164,0.0,0.006581626132854142,0.0,0.0,0.0,0.004960066071136455,0.0017155115734757663,0.0067271657770695895,0.0,0.006166568628980457,0.0,0.0,0.0,0.0,0.005883860611605995,0.0,0.0,0.004854532750473977,0.0,0.0,0.0007922327752509614,0.0,0.0037032774633913297,0.0014501888089339635,0.004761663428290997,0.0,0.010864906632013185,0.0021868661911080855,0.002193875377618047,0.0011862896322648712,0.0,0.0,0.0,0.0016776694064138007,0.004161028071834837,0.0,0.004877594663777892,0.0019227222410585132,0.0,0.0029760396426818728,0.0030694579274297344,0.0,0.004173714133029456,0.0,0.004889207984405934,0.0,0.006488048510112141,0.0,0.003911366387524747,0.02307266689270216,0.0,0.0,0.0
